"Turn off my alarm","Buy Travel insurance",0
"What’s the best exercise for abs?","Buy Health AdvantEdge",0
"Find a nearby gas station","View Health Quotient",0
"Can you make a to-do list for me?","Buy Elevate",0
"Write me a poem","Buy Home insurance",0
"Help me with my homework","View Travel Policies",0
"How can I improve my handwriting?","View Challans",0
"Recommend a new hobby","Track Health",0
"How do I start a podcast?","Driving Licence",0
"Suggest a Netflix series to watch","Motor self inspection",0
"How do I bake a chocolate cake?","PUC Validity",0
"Give me a random number","IL DriveSmart",0
"Find out about premium waiver benefits in term insurance","Motor self inspection",0.1
"Check if my term insurance covers critical illnesses","Face Scan",0.1
"Get details on the surrender value of my life insurance policy","Buy Active Booster",0.1
"Find out about the loan facility in my life insurance policy","Buy Elevate",0.1
"Check if my life insurance policy has a maturity benefit","Buy Home insurance",0.1
"Schedule a doctor’s appointment","Steps",0
"Check my horoscope","Health Records",0
"Who won the football match yesterday?","Track Health",0
"How do I tie a tie?","ABHA Id",0
"List the planets in our solar system","Face Scan",0
"Show me a live stream of space","ABHA Id",0
"Define quantum mechanics","Health Records",0
"What’s the latest fashion trend?","Steps",0
"Show me my stock investments","Manage Documents",0
"How do I play chess?","View Health Quotient",0
"Sing me a lullaby","View Challans",0
"How do I paint a landscape?","Track Health",0
"Can you solve a Rubik’s Cube?","Driving Licence",0
user_input,user_intent,score
"I want to add a policy","View Challans",0.1
"I want to add a policy","FAQs",0.1
"Find details about my coverage","Buy Elevate",0.1
"Claim my insurance","Buy Active Booster Combo",0.1
"Submit my claim request","Buy Health AdvantEdge",0.1
"Check my policy validity","Buy Health Insurance",0.1
"Track my claim status","View Home Policies",0.1
"What are the claim steps?","View Vehicle Policies",0.1
"List policies under my name","View Travel Policies",0.1
"Find nearest network hospitals","Manage Documents",0.1
"Download my health insurance card","FAQs",0.1
"How do I port my insurance policy?","Blogs",0.1
"Show my premium payment history","Driving Score",0.1
"Check tax benefits of my policy","Health Records",0.1
"Find the IDV of my vehicle policy","PUC Validity",0.1
"Update my personal details in policy","IL DriveSmart",0.1
"How do I cancel my policy?","Motor self inspection",0.1
"Check my sum insured amount","Buy Home insurance",0.1
"Get details on co-payment clauses","Buy Health Insurance",0.1
"What is No Claim Bonus (NCB)?","Buy Travel insurance",0.1
"Take a picture using my camera","Buy Health Insurance",0
"Post this on social media","Manage Documents",0
"Start my car remotely","Driving Score",0
"What is my battery percentage?","Blogs",0
"What’s the best smartphone right now?","FAQs",0
"How do I set up a new WiFi router?","View Home Policies",0
"Who is the president of the USA?","Buy Car insurance",0
"What are the benefits of meditation?","Buy Bike insurance",0
"Tell me a fun fact","Buy MaxProtect",0
"How do I make an origami crane?","Buy Active Booster Combo",0
"Show me my best vacation photos","Buy Health AdvantEdge",0
"When is my friend’s birthday?","Buy Travel insurance",0
"What’s a good name for my pet?","View Health Quotient",0
"Can I transfer my NCB?","Buy Bike insurance",0.1
"Check if my policy covers OPD expenses","Buy Car insurance",0.1
"View my dependent’s insurance details","Buy Active Booster",0.1
"Generate a new policy quote","Buy MaxProtect",0.1
"Compare different insurance plans","Buy Active Booster Combo",0.1
"Know about cashless claim process","Buy Elevate",0.1
"Find hospitals with cashless facility","Buy Home insurance",0.1
"What is the waiting period in my policy?","View Vehicle Policies",0.1
"How do I check pre-existing disease coverage?","View Travel Policies",0.1
"View terms and conditions of my policy","View Home Policies",0.1
"How can I update my nominee details?","Steps",0.1
"Add a nominee to my insurance plan","Health Records",0.1
"Can I increase my sum insured?","Track Health",0.1
"What happens if I miss my premium payment?","ABHA Id",0.1
"Can I convert my policy into a paid-up policy?","Driving Licence",0.1
"Find out my vehicle’s insurance expiry date","View Challans",0.1
"Check if my insurance policy is active","PUC Validity",0.1
"Download my car insurance policy copy","IL DriveSmart",0.1
"Home insurance link","Buy Home Insurance",0.5
"Travel policy details","Add Travel Policy",0.7
"Travel policy details","Buy Travel Insurance",0.6
"Health plan upload","Add Health Policy",1.0
"Health plan upload","Buy Health Insurance",0.2
"Corporate health query","Add Corporate Health Policy",0.7
"Corporate health query","Buy MaxProtect",0.5
"Active Booster signup","Buy Active Booster",1.0
"Active Booster signup","Add Retail Health Policy",0.2
"Bike policy registration","Add Vehicle Policy",0.8
"Bike policy registration","Buy Bike Insurance",0.9
"Home coverage options","Add Home Policy",0.5
"Home coverage options","Buy Home Insurance",0.9
"Travel insurance upload","Add Travel Policy",0.4
"Travel insurance upload","Buy Travel Insurance",0.7
"Elevate support","Buy Elevate",0.6
"Elevate support","Add Health Policy",0.1
"MaxProtect registration","Buy MaxProtect",1.0
"MaxProtect registration","Add Corporate Health Policy",0.4
"Retail policy FAQ","Add Retail Health Policy",0.5
"Retail policy FAQ","Buy Active Booster",0.3
"Vehicle insurance terms","Add Vehicle Policy",0.6
"Vehicle insurance terms","Buy Car Insurance",0.5
"Home policy details","Add Home Policy",0.8
"Home policy details","Buy Home Insurance",0.7
"How do I enable face scan?","Face Scan",1.0
"Check my driving score","driving score",1.0
"Read blogs about insurance","blogs",1.0
"Show my health policies","View Health Policies",1.0
"View my car insurance details","View Vehicle Policies",1.0
"Face scan not working","Face Scan",1.0
"What’s my current driving score?","driving score",1.0
"Latest health policy blogs","blogs",0.8
"Latest health policy blogs","View Health Policies",0.6
"Display travel policies","View Travel Policies",1.0
"Face ID setup for policies","Face Scan",0.9
"Improve my driving score","driving score",0.9
"Blogs on home insurance","blogs",1.0
"Blogs on home insurance","View Home Policies",0.7
"See my health coverage","View Health Policies",1.0
"Review vehicle policies","View Vehicle Policies",1.0
"Scan face to view policies","Face Scan",1.0
"Scan face to view policies","View Health Policies",0.7
"Driving score tips","driving score",0.8
"Driving score tips","blogs",0.6
"Can I switch my policy coverage?","Motor self inspection",0.1
"What are the penalties for late premium payments?","Face Scan",0.1
"Claim roadside assistance for my vehicle","Buy Active Booster",0.1
"Check my travel insurance coverage for international trips","Buy Travel insurance",0.1
"Find out what my home insurance covers","Buy Health AdvantEdge",0.1
"Get details on rental coverage in home insurance","View Health Quotient",0.1
"Can I extend my travel insurance duration?","Buy Elevate",0.1
"Check if my health insurance covers maternity expenses","Buy Home insurance",0.1
"Find out about waiting periods for health insurance","View Travel Policies",0.1
"What are the exclusions in my vehicle insurance?","Buy Health Insurance",0.1
"What documents do I need to file a home insurance claim?","Manage Documents",0.1
"Steps to renew my policy online","Driving Score",0.1
"Read about travel policies","blogs",0.7
"Read about travel policies","View Travel Policies",0.9
"View home insurance plans","View Home Policies",1.0
"Face recognition failed","Face Scan",1.0
"Update driving score","driving score",0.7
"Insurance blog updates","blogs",1.0
"Show health policy documents","View Health Policies",1.0
"Access car insurance info","View Vehicle Policies",1.0
"Login via face scan","Face Scan",1.0
"Login via face scan","View Health Policies",0.3
"Safe driving practices blog","blogs",0.8
"Safe driving practices blog","driving score",0.7
"Compare travel policies","View Travel Policies",0.9
"Home policy details","View Home Policies",1.0
"Reset face scan settings","Face Scan",1.0
"Driving score calculator","driving score",0.8
"Health policy articles","blogs",0.7
"Health policy articles","View Health Policies",0.9
"Vehicle policy terms","View Vehicle Policies",1.0
"Face scan for policy access","Face Scan",1.0
"Face scan for policy access","View Health Policies",0.4
"Driving score FAQs","blogs",0.6
"Driving score FAQs","driving score",0.8
"Travel insurance guides","blogs",0.7
"Travel insurance guides","View Travel Policies",0.9
"View home coverage","View Home Policies",1.0
"Troubleshoot face scan","Face Scan",1.0
"Driving score factors","driving score",0.9
"Blogs on corporate policies","blogs",0.8
"Blogs on corporate policies","View Health Policies",0.3
"Review health policies","View Health Policies",1.0
"Car insurance documents","View Vehicle Policies",1.0
"Face scan privacy","Face Scan",0.7
"Face scan privacy","blogs",0.4
"Driving score trends","driving score",0.7
"Driving score trends","blogs",0.6
"Travel policy updates","View Travel Policies",1.0
"Travel policy updates","blogs",0.5
"Home insurance blog","blogs",0.8
"Home insurance blog","View Home Policies",0.9
"Enable facial recognition","Face Scan",1.0
"Calculate my driving score","driving score",1.0
"Insurance tips blog","blogs",1.0
"Show health policy benefits","View Health Policies",1.0
"Motorcycle policy details","View Vehicle Policies",0.8
"Face scan security","Face Scan",0.9
"Face scan security","blogs",0.3
"Driving score analysis","driving score",0.8
"Driving score analysis","blogs",0.5
"Travel policy coverage","View Travel Policies",1.0
"Travel policy coverage","blogs",0.4
"View home policy terms","View Home Policies",1.0
"Face scan tutorial","Face Scan",1.0
"Face scan tutorial","blogs",0.6
"Driving score report","driving score",1.0
"Policy comparison blogs","blogs",0.9
"Policy comparison blogs","View Health Policies",0.5
"Health policy eligibility","View Health Policies",1.0
"View bike insurance","View Vehicle Policies",0.7
"Face scan permissions","Face Scan",0.8
"Face scan permissions","View Health Policies",0.2
"Driving score incentives","driving score",0.7
"Driving score incentives","blogs",0.5
"Travel insurance blogs","blogs",0.9
"Travel insurance blogs","View Travel Policies",0.8
"Home policy renewals","View Home Policies",1.0
"Face scan error","Face Scan",1.0
"Driving score app","driving score",0.8
"Insurance expert blogs","blogs",1.0
"Insurance expert blogs","View Health Policies",0.3
"Download health policies","View Health Policies",1.0
"View RV insurance","View Vehicle Policies",0.7
"Face scan settings","Face Scan",1.0
"Driving score impact","driving score",0.7
"Driving score impact","blogs",0.4
"Travel policy benefits","View Travel Policies",1.0
"Travel policy benefits","blogs",0.6
"Home policy discounts","View Home Policies",0.9
"Face scan troubleshooting","Face Scan",1.0
"Driving score tips blog","blogs",0.8
"Driving score tips blog","driving score",0.9
"Health policy summaries","View Health Policies",1.0
"View truck insurance","View Vehicle Policies",0.7
"Face scan benefits","Face Scan",0.8
"Face scan benefits","blogs",0.5
"Driving score history","driving score",1.0
"Travel policy FAQs","View Travel Policies",1.0
"Travel policy FAQs","blogs",0.6
"Home insurance guides","View Home Policies",0.9
"Home insurance guides","blogs",0.7
"Face scan registration","Face Scan",1.0
"Driving score alerts","driving score",0.7
"Insurance news blogs","blogs",1.0
"Insurance news blogs","View Health Policies",0.2
"Print health policies","View Health Policies",1.0
"View scooter insurance","View Vehicle Policies",0.6
"Face scan reliability","Face Scan",0.7
"Driving score trends blog","blogs",0.8
"Driving score trends blog","driving score",0.9
"Travel policy exclusions","View Travel Policies",1.0
"Travel policy exclusions","blogs",0.4
"Find out if my vehicle insurance covers floods","Blogs",0.1
"Check if my travel insurance covers trip cancellations","FAQs",0.1
"How can I transfer my vehicle insurance to a new owner?","View Home Policies",0.1
"Get a discount on my next insurance premium","Buy Car insurance",0.1
"Check my car insurance policy’s third-party liability coverage","Buy Bike insurance",0.1
"Find out if I have a personal accident cover in my insurance plan","Buy MaxProtect",0.1
"Find the best policy for senior citizens","Buy Active Booster Combo",0.1
"Compare travel insurance plans with different coverage limits","Buy Health AdvantEdge",0.1
"Renew license without valid PUC","PUC Validity",0.3
"Self-inspection report submission steps","Motor self inspection",1.0
"Self-inspection report submission steps","IL DriveSmart",0.2
"Challan discounts for DriveSmart users","View Challans",1.0
"Challan discounts for DriveSmart users","IL DriveSmart",0.9
"PUC validity check during inspection","PUC Validity",1.0
"PUC validity check during inspection","Motor self inspection",0.6
"DriveSmart integration with license","IL DriveSmart",1.0
"DriveSmart integration with license","Driving Licence",0.7 
"Hey, how can I add the health policy I bought last month to my account?","Add Health Policy",1.0
"I'm looking to get new health coverage - what are my options?","Buy Health Insurance",1.0
"Can you help me register my company's group health plan?","Add Corporate Health Policy",1.0
"Where do I sign up for that Elevate health plan I keep hearing about?","Buy Elevate",1.0
"Need to add my retail employee health benefits to the portal","Add Retail Health Policy",1.0
"Looking for good car insurance deals in Bangalore","Buy Car Insurance",1.0
"How do I link my existing travel insurance to my profile here?","Add Travel Policy",1.0
"Want to buy health insurance but not sure which one","Buy Health Insurance",0.9
"Want to buy health insurance but not sure which one","Add Health Policy",0.3
"Thinking about getting bike insurance - what's covered?","Buy Bike Insurance",0.9
"My broker said I should add my existing policy first","Add Health Policy",0.8
"Can I purchase Elevate coverage through this app?","Buy Elevate",1.0
"Help! Need to add my husband to my corporate health plan","Add Corporate Health Policy",1.0
"What's the process to buy that Active Booster package?","Buy Active Booster",1.0
"Trying to upload my motorcycle insurance documents","Add Vehicle Policy",1.0
"Need home insurance ASAP - my loan requires it","Buy Home Insurance",1.0
"Where do I enter my old health plan details?","Add Health Policy",1.0
"Interested in MaxProtect for my elderly parents","Buy MaxProtect",1.0
"Where do I enter my corporate wellness program?","Add Corporate Health Policy",1.0
"Adventure traveler - need comprehensive coverage","Buy Travel Insurance",1.0
"MaxProtect reviews from actual users?","Buy MaxProtect",0.8
"Changed bikes - how to update vehicle insurance?","Add Vehicle Policy",1.0
"Pre-existing conditions - what health plans cover?","Buy Health Insurance",1.0
"Digital nomad - best travel insurance options?","Buy Travel Insurance",1.0
"Where to upload my retail staff health documents?","Add Retail Health Policy",1.0
"Active Booster for senior citizens?","Buy Active Booster",1.0
"Buying first home - what insurance is mandatory?","Buy Home Insurance",1.0
"How to add my daughter to my health plan?","Add Health Policy",1.0
"Food delivery rider - need bike insurance","Buy Bike Insurance",1.0
"Corporate plan changed - how to update in app?","Add Corporate Health Policy",1.0
"Frequent flyer - annual travel insurance options?","Buy Travel Insurance",1.0
"Health AdvantEdge family plan details?","Buy Health AdvantEdge",1.0
"Lost my policy documents - how to re-add?","Add Health Policy",0.9
"Buying used car - transfer insurance steps?","Buy Car Insurance",1.0
"Where to enter my retail chain's health benefits?","Add Retail Health Policy",1.0
"Active Booster for chronic conditions?","Buy Active Booster",1.0
"Renting apartment - need tenant insurance?","Buy Home Insurance",0.8
"Newly divorced - how to split health policy?","Add Health Policy",0.8
"Delivery business - need commercial bike insurance","Buy Bike Insurance",1.0
"Expired corporate plan - how to renew in system?","Add Corporate Health Policy",1.0
"Backpacking Southeast Asia - travel insurance?","Buy Travel Insurance",1.0
"MaxProtect premium increasing - alternatives?","Buy MaxProtect",0.8
"Changed name - how to update on health policy?","Add Health Policy",0.9
"First car - what's the minimum insurance needed?","Buy Car Insurance",1.0
"Retail franchise owner - group health options?","Add Retail Health Policy",1.0
"How to register my travel insurance from MakeMyTrip?","Add Travel Policy",1.0
"Health AdvantEdge looks good - how do I enroll?","Buy Health AdvantEdge",1.0
"Closing on a house next week - need home insurance","Buy Home Insurance",1.0
"Just bought a policy - how do I add it to my account?","Add Health Policy",1.0
"My new scooter needs insurance - recommendations?","Buy Bike Insurance",0.8
"Company switched providers - how to add new corporate plan?","Add Corporate Health Policy",1.0
"Where can I see my existing policies?","View Health Policies",0.7
"Where can I see my existing policies?","View Vehicle Policies",0.5
"Got a new job - need to add their health benefits","Add Corporate Health Policy",1.0
"Traveling to US - need good travel insurance","Buy Travel Insurance",1.0
"Bought Elevate but can't find it in my account","Add Health Policy",0.8
"Bought Elevate but can't find it in my account","Buy Elevate",0.6
"Retail store owner looking for employee health plans","Add Retail Health Policy",1.0
"Active Booster vs MaxProtect - which is better?","Buy Active Booster",0.7
"Active Booster vs MaxProtect - which is better?","Buy MaxProtect",0.7
"Need to insure my new Thar - what's covered?","Buy Car Insurance",1.0
"How do I link my existing home insurance?","Add Home Policy",1.0
"Turning 60 - need better health coverage","Buy Health Insurance",1.0
"Where do I upload my vehicle insurance copy?","Add Vehicle Policy",1.0
"Find policies with zero depreciation cover","Buy Travel insurance",0.1
"What is the process to claim accidental hospitalization coverage?","View Health Quotient",0.1
"Find out about health insurance plans with OPD coverage","View Challans",0.1
"How do I avail of a free health checkup under my policy?","Track Health",0.1
"Can I convert my term insurance into a whole life policy?","Driving Licence",0.1
"Get details on the death benefit in my life insurance policy","Buy Health Insurance",0.1
"Find out about the premium payment frequency in my life insurance policy","Buy Travel insurance",0.1
"Check if my life insurance policy has a grace period","Buy Bike insurance",0.1
"What’s the latest news?","View Vehicle Policies",0
"Home policy claims process","View Home Policies",1.0
"Face scan authentication","Face Scan",1.0
"Driving score rewards","driving score",0.8
"Driving score rewards","blogs",0.5
"Health policy changes","View Health Policies",1.0
"View boat insurance","View Vehicle Policies",0.6
"Face scan speed","Face Scan",0.7
"Blogs on driving safety","blogs",0.9
"Blogs on driving safety","driving score",0.8
"Travel policy support","View Travel Policies",1.0
"Just had a baby - need to update health coverage","Add Health Policy",0.9
"Just had a baby - need to update health coverage","Buy Health Insurance",0.7
"Corporate HR here - need to enroll 50 employees","Add Corporate Health Policy",1.0
"Looking for travel insurance with COVID coverage","Buy Travel Insurance",1.0
"Health AdvantEdge premium seems high - alternatives?","Buy Health AdvantEdge",0.8
"How to add my parents to my existing policy?","Add Health Policy",1.0
"New driver here - what's the cheapest bike insurance?","Buy Bike Insurance",1.0
"Switching jobs - how to carry over my health plan?","Add Health Policy",0.9
"Bought a vintage car - special insurance needed?","Buy Car Insurance",0.9
"Where do I submit my retail health plan documents?","Add Retail Health Policy",1.0
"Active Booster combo worth it for gym enthusiasts?","Buy Active Booster Combo",1.0
"Moving abroad - need temporary health coverage","Buy Health Insurance",1.0
"How to link my travel insurance from last Europe trip?","Add Travel Policy",1.0
"Freelancer here - best health insurance options?","Buy Health Insurance",1.0
"Got married - how to merge our health policies?","Add Health Policy",0.8
"Renovating home - need to update home insurance","Buy Home Insurance",0.9
"Travel policy support","blogs",0.4
"Home policy coverage","View Home Policies",1.0
"Face scan accuracy","Face Scan",0.9
"Driving score dashboard","driving score",0.8
"Insurance glossary blogs","blogs",1.0
"Insurance glossary blogs","View Health Policies",0.2
"Email health policies","View Health Policies",1.0
"View ATV insurance","View Vehicle Policies",0.6
"Face scan tutorial video","Face Scan",1.0
"Face scan tutorial video","blogs",0.5
"Driving score simulator","driving score",0.7
"Travel policy reviews","View Travel Policies",0.9
"Travel policy reviews","blogs",0.6
"Home policy blog posts","View Home Policies",0.7
"Home policy blog posts","blogs",0.9
"Face scan compatibility","Face Scan",0.8
"Driving score factors blog","blogs",0.8
"Driving score factors blog","driving score",0.9 
"Enable face scan and check my health policies","Face Scan",1.0  
"Enable face scan and check my health policies","View Health Policies",0.8  
"Troubleshoot driving score errors while viewing vehicle policies","driving score",0.9  
"Troubleshoot driving score errors while viewing vehicle policies","View Vehicle Policies",0.8 
"Read insurance blogs and compare travel policies","blogs",0.8  
"Read insurance blogs and compare travel policies","View Travel Policies",0.8  
"Update face scan settings and review home insurance","Face Scan",1.0  
"Update face scan settings and review home insurance","View Home Policies",0.8  
"Analyze driving score trends and read safety blogs","driving score",0.9  
"Analyze driving score trends and read safety blogs","blogs",0.8  
"Access health policy documents using face scan","View Health Policies",0.8  
"Access health policy documents using face scan","Face Scan",0.9  
"Fix face scan issues and check car insurance details","Face Scan",1.0  
"Fix face scan issues and check car insurance details","View Vehicle Policies",0.8  
"Browse travel policy blogs and calculate driving score","blogs",0.7  
"Browse travel policy blogs and calculate driving score","driving score",0.8  
"Register for face scan and view home coverage","Face Scan",1.0  
"Register for face scan and view home coverage","View Home Policies",0.8  
"Improve driving score while reading policy articles","driving score",0.9  
"Improve driving score while reading policy articles","blogs",0.8  
"Reset face scan and download health policy PDFs","Face Scan",1.0  
"Reset face scan and download health policy PDFs","View Health Policies",0.7  
"Compare driving score tips and read vehicle policy blogs","driving score",0.9  
"Compare driving score tips and read vehicle policy blogs","blogs",0.8  
"Scan face to login and review travel insurance","Face Scan",1.0  
"Scan face to login and review travel insurance","View Travel Policies",0.6  
"Generate driving score report and explore home policy blogs","driving score",0.9  
"Generate driving score report and explore home policy blogs","View Home Policies",0.7  
"Troubleshoot face scan errors and check bike insurance","Face Scan",1.0  
"Troubleshoot face scan errors and check bike insurance","View Vehicle Policies",0.8  
"Read health policy updates and validate driving score","View Health Policies",0.8  
"Read health policy updates and validate driving score","driving score",0.7  
"Configure face scan security and view travel coverage","Face Scan",1.0  
"Configure face scan security and view travel coverage","View Travel Policies",0.8  
"Monitor driving score history and read home insurance blogs","driving score",0.8  
"Monitor driving score history and read home insurance blogs","blogs",0.7
"How do I manage my health records?","Manage Documents",1.0
"Steps to link ABHA ID","Steps",1.0
"Track my health metrics","Track Health",1.0
"FAQs about health quotient","FAQs",1.0
"Upload health records","Health records",1.0
"View my health quotient score","View Health Quotient",1.0
"Create an ABHA ID","ABHA Id",1.0
"Download health documents","Manage Documents",0.9
"Steps to track daily health","Steps",0.9
"FAQs on ABHA registration","FAQs",0.8
"FAQs on ABHA registration","ABHA Id",0.7
"Delete old health records","Health records",0.8
"Delete old health records","Manage Documents",0.6
"Update my health quotient","View Health Quotient",0.7
"Update my health quotient","Track Health",0.5
"Troubleshoot ABHA ID issues","ABHA Id",1.0
"Troubleshoot ABHA ID issues","FAQs",0.6
"Steps to generate health reports","Steps",1.0
"Steps to generate health reports","Track Health",0.7
"Manage health documents online","Manage Documents",1.0
"Manage health documents online","Health records",0.8
"Track monthly health trends","Track Health",1.0
"Track monthly health trends","View Health Quotient",0.4
"FAQs for health record access","FAQs",1.0
"FAQs for health record access","Health records",0.5
"Sync ABHA ID with records","ABHA Id",0.9
"Sync ABHA ID with records","Health records",0.6
"Steps to view health quotient","Steps",0.8
"Steps to view health quotient","View Health Quotient",0.9
"Backup health records","Health records",1.0
"Backup health records","Manage Documents",0.7
"FAQs about tracking health","FAQs",0.8
"FAQs about tracking health","Track Health",0.6
"Renew ABHA ID","ABHA Id",1.0
"Renew ABHA ID","Steps",0.3
"Active Booster for pre-existing diabetes?","Buy Active Booster",1.0
"Buying condo - difference from home insurance?","Buy Home Insurance",0.9
"How to combine my two health policies?","Add Health Policy",0.9
"Food delivery startup - insure our rider bikes","Buy Bike Insurance",1.0
"Merging companies - how to combine health plans?","Add Corporate Health Policy",1.0
"World cruise - best travel insurance?","Buy Travel Insurance",1.0
"Health AdvantEdge vs regular health insurance?","Buy Health AdvantEdge",0.9
"Digital policy copy - how to add to account?","Add Health Policy",0.8
"Classic car insurance requirements?","Buy Car Insurance",0.9
"Large retail staff - bulk health plan upload?","Add Retail Health Policy",1.0
"Active Booster for marathon training?","Buy Active Booster",1.0
"Rental property insurance vs home insurance?","Buy Home Insurance",0.8
"Adopted child - add to health policy steps?","Add Health Policy",1.0
"Electric bike insurance different?","Buy Bike Insurance",0.9
"Corporate wellness program integration?","Add Corporate Health Policy",1.0
"Digital nomad health insurance options?","Buy Health Insurance",1.0
"MaxProtect for cancer survivors?","Buy MaxProtect",1.0
"Married name change on health policy?","Add Health Policy",0.9
"Rare car collection insurance?","Buy Car Insurance",0.9
"Multi-state retail chain health plans?","Add Retail Health Policy",1.0
"Active Booster for extreme sports?","Buy Active Booster",1.0
"Vacation home insurance requirements?","Buy Home Insurance",0.8
"Domestic partner health policy addition?","Add Health Policy",0.9
"Food delivery bike insurance commercial vs personal?","Buy Bike Insurance",1.0
"International corporate health plan setup?","Add Corporate Health Policy",1.0
"Expat returning to India - health insurance?","Buy Health Insurance",1.0
"Health AdvantEdge for NRI customers?","Buy Health AdvantEdge",1.0
"Changed email - update on health policy?","Add Health Policy",0.8
"Modified car insurance implications?","Buy Car Insurance",0.9
"Seasonal retail staff health coverage?","Add Retail Health Policy",1.0
"Active Booster for pre-existing heart condition?","Buy Active Booster",1.0
"Renting out my home - insurance changes?","Buy Home Insurance",0.8
"Newborn addition to health policy timeline?","Add Health Policy",1.0
"Multiple bike insurance discount?","Buy Bike Insurance",0.9
"Corporate health plan for remote employees?","Add Corporate Health Policy",1.0
"Senior citizen travel insurance options?","Buy Travel Insurance",1.0
"MaxProtect lifetime renewal guarantee?","Buy MaxProtect",0.8
"Policy transfer between states process?","Add Health Policy",0.8
"View health quotient history","View Health Quotient",1.0
"View health quotient history","Track Health",0.4
"Organize health documents","Manage Documents",1.0
"Organize health documents","Health records",0.7
"Steps to share health data","Steps",0.9
"Steps to share health data","Track Health",0.5
"FAQs on health quotient accuracy","FAQs",1.0
"FAQs on health quotient accuracy","View Health Quotient",0.6
"Link ABHA ID to hospital","ABHA Id",1.0
"Link ABHA ID to hospital","Steps",0.4
"Track mental health progress","Track Health",1.0
"Vintage bike insurance appraisal needed?","Buy Bike Insurance",0.9
"Retail health plan for part-time workers?","Add Retail Health Policy",1.0
"Active Booster for wheelchair users?","Buy Active Booster",1.0
"Home insurance during renovation?","Buy Home Insurance",0.8
"Divorce health policy separation steps?","Add Health Policy",0.8
"Commercial vs personal bike insurance?","Buy Bike Insurance",1.0
"Global corporate health plan options?","Add Corporate Health Policy",1.0
"Adventure sports travel insurance?","Buy Travel Insurance",1.0
"Health AdvantEdge Ayurveda coverage?","Buy Health AdvantEdge",1.0
"Policy number change update process?","Add Health Policy",0.8
"Modified bike insurance restrictions?","Buy Bike Insurance",0.9
"Temporary retail staff health coverage?","Add Retail Health Policy",1.0
"Active Booster for pregnancy coverage?","Buy Active Booster",1.0
"Vacant home insurance requirements?","Buy Home Insurance",0.8
"Common-law partner health policy addition?","Add Health Policy",0.9
"Food delivery bike insurance hourly basis?","Buy Bike Insurance",1.0
"Startup corporate health plan options?","Add Corporate Health Policy",1.0
"Long-term travel insurance options?","Buy Travel Insurance",1.0
"MaxProtect for rare diseases?","Buy MaxProtect",1.0
"Policy beneficiary change steps?","Add Health Policy",0.8
"Electric car insurance differences?","Buy Car Insurance",0.9
"Seasonal retail business health plans?","Add Retail Health Policy",1.0
"Active Booster for mental health coverage?","Buy Active Booster",1.0
"Rental property insurance claim process?","Buy Home Insurance",0.8
"Stepchild addition to health policy?","Add Health Policy",0.9
"Bike insurance for delivery startups?","Buy Bike Insurance",1.0
"Corporate health plan for contractors?","Add Corporate Health Policy",1.0
"Track mental health progress","Health records",0.3
"Delete ABHA ID","ABHA Id",1.0
"Delete ABHA ID","Manage Documents",0.2
"Steps to export health records","Steps",1.0
"Steps to export health records","Health records",0.8
"FAQs for managing documents","FAQs",1.0
"FAQs for managing documents","Manage Documents",0.7
"View health quotient trends","View Health Quotient",1.0
"View health quotient trends","Track Health",0.6
"Recover lost ABHA ID","ABHA Id",1.0
"Recover lost ABHA ID","FAQs",0.5
"Archive old health records","Health records",0.9
"Archive old health records","Manage Documents",0.8
"Steps to monitor health goals","Steps",0.8
"Steps to monitor health goals","Track Health",0.9
"FAQs on health records privacy","FAQs",1.0
"FAQs on health records privacy","Health records",0.7
"Verify ABHA ID details","ABHA Id",1.0
"Verify ABHA ID details","Steps",0.4
"Compare health quotient scores","View Health Quotient",1.0
"Compare health quotient scores","Track Health",0.5
"Edit health documents","Manage Documents",1.0
"Edit health documents","Health records",0.6
"Steps to reset health tracker","Steps",1.0
"Steps to reset health tracker","Track Health",0.7
"FAQs about ABHA benefits","FAQs",0.9
"FAQs about ABHA benefits","ABHA Id",0.8
"Download health quotient report","View Health Quotient",1.0
"Download health quotient report","Manage Documents",0.4
"Track vaccination records","Health records",0.7
"Track vaccination records","Track Health",0.8
"FAQs for health quotient access","FAQs",1.0
"FAQs for health quotient access","View Health Quotient",0.7
"Steps to merge ABHA IDs","Steps",0.8
"Steps to merge ABHA IDs","ABHA Id",0.9
"Backup health documents","Manage Documents",1.0
"Backup health documents","Health records",0.7
"View health quotient dashboard","View Health Quotient",1.0
"View health quotient dashboard","Track Health",0.3
"FAQs on document security","FAQs",0.8
"FAQs on document security","Manage Documents",0.6
"Update ABHA ID photo","ABHA Id",1.0
"Update ABHA ID photo","Steps",0.5
"Track fitness metrics","Track Health",1.0
"Track fitness metrics","Health records",0.2
"Steps to print health records","Steps",0.9
"Steps to print health records","Health records",0.7
"FAQs about health trends","FAQs",0.7
"FAQs about health trends","Track Health",0.6
"Share ABHA ID securely","ABHA Id",1.0
"Share ABHA ID securely","Manage Documents",0.3
"View health quotient milestones","View Health Quotient",1.0
"View health quotient milestones","Track Health",0.5
"Organize medical documents","Manage Documents",1.0
"Organize medical documents","Health records",0.8
"Steps to sync health data","Steps",0.9
"Steps to sync health data","Track Health",0.7
"FAQs on ABHA integration","FAQs",0.8
"FAQs on ABHA integration","ABHA Id",0.7
"Track sleep patterns","Track Health",1.0
